Id,SaleCondition,LotArea,OverallQual,OverallCond,YearRemodAdd,MasVnrArea,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,Fireplaces,GarageArea,SalePrice
363,Normal,7301,7,5,2003,500,1922,0,0,3,0,4,1,672,198500
364,Normal,1680,6,8,2007,510,987,0,0,1,1,2,0,264,118000
365,Normal,18800,6,5,1976,120,1574,1,0,2,1,3,1,566,190000
366,Normal,10690,5,7,1997,0,1344,0,0,1,0,3,0,468,147000
367,Normal,9500,6,5,1963,247,1394,1,0,1,1,3,2,514,159000
368,Normal,9150,6,5,1962,305,1431,0,1,1,0,3,1,296,165000
369,Normal,7800,5,6,1954,200,1268,0,0,1,0,2,1,244,132000
370,Normal,9830,5,7,2006,0,1287,1,0,1,0,3,1,576,162000
371,Normal,8121,6,5,2000,0,1664,0,0,2,1,3,1,460,172400
372,Normal,17120,4,4,1959,0,1588,0,0,2,0,4,1,680,134432
373,Normal,7175,6,5,1984,0,752,1,0,1,0,2,0,264,125000
374,Normal,10634,5,6,1953,0,1319,1,0,1,0,3,0,270,123000
375,Normal,8200,7,5,2004,0,1928,0,0,2,1,4,1,434,219500
376,Normal,10020,1,1,1950,0,904,1,0,0,1,1,0,0,61000
377,Normal,8846,5,5,1996,0,914,0,0,1,0,2,0,576,148000
378,Normal,11143,8,5,2005,0,2466,0,0,3,0,4,1,610,340000
379,Partial,11394,9,2,2010,350,1856,1,0,1,1,1,1,834,394432
380,Normal,8123,6,5,2000,16,1800,0,0,2,1,3,1,463,179000
381,Normal,5000,5,6,1950,0,1691,0,0,2,0,3,1,308,127000
382,Partial,7200,7,5,2006,0,1301,1,0,2,0,2,1,572,187750
383,Normal,9245,7,5,2006,0,1797,0,0,2,1,3,0,639,213500
384,Normal,9000,6,3,1950,0,784,0,0,1,0,2,0,360,76000
385,Normal,53107,6,5,1992,0,1953,1,0,2,1,3,2,501,240000
386,Normal,3182,8,5,2005,16,1269,0,0,2,0,2,1,430,192000
387,AdjLand,8410,5,3,1996,0,1184,0,0,1,0,5,0,0,81000
388,Abnorml,7200,6,6,1976,255,1125,1,0,1,0,3,1,352,125000
389,Normal,9382,7,5,2000,125,1479,0,0,2,0,3,0,577,191000
390,Partial,12474,10,5,2008,272,2332,1,0,2,1,3,1,846,426000
391,Normal,8405,5,8,1950,0,1367,1,0,1,0,4,0,384,119000
392,Normal,12209,6,5,2002,0,1961,1,0,2,1,3,1,560,215000
393,Normal,8339,5,7,1959,0,882,0,0,1,0,3,0,294,106500
394,Abnorml,7446,4,5,1950,0,788,0,0,1,0,2,2,0,100000
395,Normal,10134,5,6,1950,0,1034,0,0,1,0,2,0,240,109000
396,Normal,9571,5,6,1956,0,1144,1,0,1,0,3,0,596,129000
397,Normal,7200,5,5,1972,0,894,0,0,1,0,2,0,600,123000
398,Normal,7590,5,5,1962,288,1812,0,0,2,0,4,1,264,169500
399,Abnorml,8967,5,2,1950,0,1077,0,0,1,0,2,0,338,67000
400,Normal,8125,7,5,2007,100,1550,1,0,2,0,2,0,438,241000
401,Normal,14963,8,5,1996,0,1288,1,0,1,1,1,2,500,245500
402,Partial,8767,7,5,2005,0,1310,0,0,2,0,3,1,400,164990
403,Normal,10200,5,8,1997,0,672,0,0,1,0,2,0,240,108000
404,Abnorml,12090,8,5,1998,650,2263,0,0,2,1,4,1,420,258000
405,Normal,10364,6,5,1996,0,1572,0,0,2,1,3,1,373,168000
406,Normal,9991,4,4,1993,0,1620,1,0,2,0,3,1,490,150000
407,Normal,10480,6,5,1950,0,1639,0,0,1,0,3,0,240,115000
408,Normal,15576,6,7,1976,0,1680,0,0,2,0,4,0,308,177000
409,Partial,14154,7,5,2006,350,2172,0,0,2,1,3,1,947,280000
410,Partial,10800,8,5,2008,100,2078,1,0,2,1,3,1,836,339750
411,Abnorml,9571,5,3,1958,0,1276,0,0,1,0,3,0,350,60000
412,Normal,34650,5,5,1955,0,1056,1,0,1,0,3,0,572,145000
413,Partial,4403,7,5,2009,432,1478,1,0,2,1,2,1,484,222000
414,Normal,8960,5,6,1950,0,1028,0,0,1,0,2,1,360,115000
415,Normal,11228,7,5,1993,0,2097,0,1,2,1,3,1,678,228000
416,Partial,8899,7,5,2007,0,1340,0,0,2,0,3,0,396,181134
417,Normal,7844,6,7,1978,203,1400,0,0,1,1,3,1,440,149500
418,Normal,22420,6,6,1950,0,2624,1,0,2,1,4,1,864,239000
419,AdjLand,8160,5,6,1950,0,1134,1,0,1,1,3,0,240,126000
420,Normal,8450,5,6,1968,0,1056,1,0,1,0,3,1,304,142000
421,Alloca,7060,7,5,1998,200,1344,2,0,2,0,2,0,784,206300
422,Normal,16635,6,7,2000,126,1602,0,1,2,0,3,1,529,215000
423,Normal,21750,5,5,1954,0,988,0,0,1,0,2,0,520,113000
424,Normal,9200,8,5,1998,473,2630,1,0,2,1,4,1,696,315000
425,Normal,9000,6,5,1956,74,1196,1,0,1,0,2,1,297,139000
426,Normal,3378,7,8,1992,0,1389,0,0,1,1,3,2,240,135000
427,Normal,12800,7,5,1989,145,1644,1,1,2,0,2,1,569,275000
428,Normal,8593,4,6,1957,0,907,0,0,1,0,3,0,352,109008
429,Partial,6762,7,5,2007,108,1208,1,0,2,0,2,0,628,195400
430,Normal,11457,6,5,1988,0,1412,1,0,2,0,3,1,576,175000
431,Abnorml,1680,6,5,1971,232,987,0,0,1,1,2,0,264,85400
432,Abnorml,5586,6,7,1998,0,1198,0,0,1,0,4,0,0,79900
433,Normal,1920,5,5,1971,376,1365,1,0,1,1,2,0,440,122500
434,Normal,10839,6,5,1998,0,1604,0,0,2,1,3,1,470,181000
435,Normal,1890,4,7,1972,0,630,1,0,1,0,1,0,0,81000
436,Normal,10667,7,6,1996,0,1661,1,0,2,1,3,1,550,212000
437,Normal,4400,6,8,1950,0,1118,0,0,1,0,2,0,440,116000
438,Normal,6000,6,7,2004,0,904,0,0,1,0,2,0,180,119000
439,Normal,4280,5,6,2002,0,694,0,0,1,0,2,1,352,90350
440,Normal,12354,6,8,2000,0,1196,0,0,1,0,3,0,528,110000
441,Normal,15431,10,5,2008,200,2402,1,0,2,0,2,2,672,555000
442,Normal,12108,4,4,1955,270,1440,0,0,2,0,4,0,0,118000
443,Normal,6240,5,7,1992,0,1573,0,0,2,0,3,1,360,162900
444,Partial,3922,7,5,2007,72,1258,0,0,2,0,2,1,648,172500
445,Normal,8750,7,5,1995,0,1908,1,0,2,1,4,1,493,210000
446,Normal,9855,6,5,1956,0,1689,0,0,1,0,3,1,480,127500
447,Normal,16492,6,6,2002,0,1888,0,0,2,1,2,1,578,190000
448,Normal,11214,7,5,1999,0,1886,0,0,2,1,4,1,431,199900
449,Normal,8600,6,6,1950,0,1376,0,0,2,0,3,1,198,119500
450,Normal,6000,3,7,2002,0,1183,0,0,1,1,2,0,308,120000
451,Normal,5684,6,8,2005,0,813,0,0,1,0,2,0,270,110000
452,Normal,70761,7,5,1975,0,1533,1,0,2,0,2,2,576,280000
453,Normal,9303,6,5,1997,42,1756,1,0,2,1,3,0,422,204000
454,Normal,9000,8,5,2008,0,1590,0,0,2,1,3,0,676,210000
455,Family,9297,5,5,1976,0,1728,2,0,2,0,4,0,560,188000
456,Normal,9600,7,6,1973,320,1242,0,0,1,1,3,1,528,175500
457,Abnorml,4571,5,5,1950,0,1344,0,0,1,0,4,0,513,98000
458,Normal,53227,4,6,1994,0,1663,1,0,1,0,2,2,529,256000
459,Normal,5100,8,7,1996,0,1666,0,0,1,0,3,1,228,161000
460,Normal,7015,5,4,1950,161,1203,1,0,1,0,3,1,352,110000
461,Partial,8004,8,5,2009,110,1935,1,0,2,1,3,0,552,263435
462,Normal,7200,7,9,2007,0,1135,1,0,1,0,3,0,576,155000
463,Normal,8281,5,5,1965,0,864,0,0,1,0,3,1,360,62383
464,Normal,11988,6,7,1995,0,1660,0,0,1,1,3,1,240,188700
465,Normal,8430,5,5,1978,136,1040,0,0,2,0,3,0,0,124000
466,Normal,3072,7,5,2004,18,1414,0,0,2,0,2,1,398,178740
467,Normal,10628,7,5,1970,0,1277,1,0,1,0,2,1,526,167000
468,Normal,9480,5,7,1995,224,1644,0,0,1,1,3,2,312,146500
469,Normal,11428,8,5,2006,248,1634,0,0,2,0,3,1,866,250000
470,Normal,9291,6,5,1993,120,1710,0,0,2,1,3,0,506,187000
471,Normal,6820,8,5,1985,0,1502,1,0,1,1,1,0,528,212000
472,Normal,11952,7,6,1977,0,1969,0,0,2,1,3,1,534,190000
473,Normal,3675,6,5,2005,80,1072,1,0,1,0,2,0,525,148000
474,Partial,14977,8,5,2007,304,1976,1,0,2,0,2,1,908,440000
475,Normal,5330,8,5,2000,0,1652,1,0,2,0,2,0,499,251000
476,Normal,8480,5,6,1963,0,970,1,0,1,0,2,0,624,132500
477,Normal,13125,6,5,1998,215,1493,1,0,2,0,3,1,508,208900
478,Normal,13693,9,5,2006,772,2643,0,0,2,1,3,1,694,380000
479,Normal,10637,8,5,2008,336,1718,1,0,2,0,3,1,826,297000
480,Alloca,5925,4,7,2000,435,1131,0,0,1,0,2,0,672,89471
481,Normal,16033,9,5,2005,378,1850,1,0,2,0,3,1,772,326000
482,Normal,11846,9,5,2004,562,1792,1,0,2,0,2,1,874,374000
483,Normal,2500,7,8,2005,0,1826,1,0,1,1,4,1,164,155000
484,Normal,4500,6,5,1998,116,1216,1,0,2,0,2,0,402,164000
485,Normal,7758,5,7,2001,0,999,1,0,1,0,3,0,264,132500
486,Normal,9600,5,7,2007,0,1113,0,0,1,0,3,1,264,147000
487,Normal,10289,5,7,1965,168,1073,1,0,1,1,3,0,515,156000
488,Normal,12243,5,6,1971,0,1484,0,0,2,0,3,1,487,175000
489,Normal,10800,5,4,1970,0,2414,0,0,2,0,3,1,520,160000
490,Normal,1526,4,8,2002,0,630,1,0,1,0,1,0,286,86000
491,Normal,2665,5,6,1976,0,1304,0,0,1,1,3,1,336,115000
492,Normal,9490,6,7,1950,0,1578,1,0,1,0,3,2,240,133000
493,Partial,15578,6,5,2006,0,1456,0,0,2,1,3,0,429,172785
494,Normal,7931,5,6,1960,0,1269,0,0,1,1,3,1,308,155000
495,Normal,5784,5,8,1996,0,886,0,0,1,0,2,0,273,91300
496,Abnorml,7879,4,5,1950,0,720,0,0,1,0,2,0,0,34900
497,Normal,12692,8,5,1993,0,3228,1,0,3,0,4,1,546,430000
498,Normal,9120,7,6,1950,0,1820,1,0,2,0,4,0,240,184000
499,Normal,7800,5,7,2004,89,899,0,0,1,0,3,0,288,130000
500,Normal,7535,5,7,1985,0,912,0,1,1,0,2,0,297,120000
501,Normal,1890,6,5,1973,285,1218,0,0,1,1,3,0,264,113000
502,Normal,9803,7,5,2005,0,1768,0,0,2,1,3,0,603,226700
503,Normal,9170,5,7,1965,0,1214,1,0,1,0,2,0,461,140000
504,Normal,15602,7,8,1997,0,1801,1,0,2,0,1,2,484,289000
505,Normal,2308,6,5,1974,0,1322,0,1,2,1,3,1,440,147000
506,Normal,7596,5,5,1952,360,1960,0,0,2,0,4,0,400,124500
507,Normal,9554,8,5,1994,125,1911,0,0,2,1,3,1,471,215000
508,Partial,7862,6,5,2009,0,1218,0,0,2,0,2,0,676,208300
509,Normal,9600,7,9,2005,0,1378,0,0,2,0,3,1,360,161000
510,Normal,9600,5,6,1959,132,1041,1,0,1,0,3,0,270,124500
511,Normal,14559,5,7,2000,70,1363,1,0,1,0,2,2,288,164900
512,Partial,6792,7,5,2006,94,1368,0,0,2,0,2,1,474,202665
513,Normal,9100,5,5,1958,0,864,1,0,1,0,3,0,624,129900
514,Normal,9187,6,5,1983,0,1080,0,0,1,1,3,0,484,134000
515,Normal,10594,5,5,1950,0,789,0,0,1,0,2,0,200,96500
516,Partial,12220,10,5,2009,305,2020,1,0,2,1,3,1,900,402861
517,Abnorml,10448,6,6,1972,333,2119,0,0,2,1,3,1,583,158000
518,Normal,10208,7,5,1997,921,2344,0,0,2,1,3,1,889,265000
519,Normal,9531,6,5,1998,0,1796,1,0,2,1,3,0,546,211000
520,Normal,10918,7,9,2004,0,2080,0,0,1,1,3,2,282,234000
521,Normal,10800,4,7,2000,0,1294,0,0,2,0,3,0,0,106250
522,Normal,11988,6,6,1957,0,1244,0,0,1,1,3,2,336,150000
523,Normal,5000,6,7,1950,0,1664,0,0,2,0,3,2,420,159000
524,Partial,40094,10,5,2008,762,4676,1,0,3,1,3,1,884,184750
525,Normal,11787,7,5,1997,594,2398,1,0,2,1,3,1,834,315750
526,Normal,7500,7,5,2005,0,1266,0,0,2,0,3,1,453,176000
527,Normal,13300,5,7,2000,0,928,0,0,1,0,2,0,252,132000
528,Partial,14948,9,5,2008,268,2713,1,0,2,1,3,1,858,446261
529,Normal,9098,4,7,2002,0,605,1,0,1,0,2,0,0,86000
530,Alloca,32668,6,3,1975,,2515,1,0,3,0,4,2,484,200624
531,Abnorml,10200,6,5,1989,219,1509,1,0,2,0,3,1,600,175000
532,Normal,6155,6,8,1999,0,1362,0,0,2,0,3,0,502,128000
533,Normal,7200,5,7,2007,0,827,0,0,1,0,2,1,392,107500
534,Normal,5000,1,3,1950,0,334,0,0,1,0,1,0,0,39300
535,Normal,9056,8,5,2004,0,1414,0,0,2,1,3,1,403,178000
536,Normal,7000,5,7,1991,0,1347,1,0,1,0,3,0,0,107500
537,Normal,8924,7,5,1999,0,1724,0,0,2,1,3,0,527,188000
538,Normal,12735,4,5,1972,0,864,0,0,1,0,3,0,576,111250
539,Normal,11553,5,5,1968,188,1159,0,0,1,1,3,1,336,158000
540,Normal,11423,8,5,2002,479,1601,1,0,2,0,3,1,670,272000
541,Normal,14601,9,5,2006,584,1838,1,0,2,0,2,1,765,315000
542,Normal,11000,8,5,2000,72,2285,0,0,2,1,4,1,648,248000
543,Normal,10140,7,5,1999,0,1680,1,0,2,0,3,1,583,213250
544,Normal,4058,7,5,1998,182,767,1,0,1,0,1,0,367,133000
545,Partial,17104,7,5,2006,0,1496,1,0,2,1,3,1,426,179665
546,Normal,13837,7,5,1988,178,2183,0,0,2,1,4,0,786,229000
547,Normal,8737,6,7,1950,0,1635,0,0,1,1,3,1,440,210000
548,Normal,7244,5,7,1970,0,768,1,0,1,0,2,0,624,129500
549,Normal,8235,5,7,1995,0,825,1,0,1,0,2,0,720,125000
550,Normal,9375,7,5,2004,0,2094,0,0,2,1,4,1,615,263000
551,Abnorml,4043,6,6,1977,0,1069,0,0,2,0,2,0,440,140000
552,Normal,6000,5,6,1957,0,928,0,0,1,0,3,0,288,112500
553,Normal,11146,8,5,2006,250,1717,0,0,2,0,3,1,908,255500
554,Normal,8777,4,5,2003,0,1126,0,0,2,0,2,0,520,108000
555,Normal,10625,7,5,2004,292,2046,1,0,2,1,3,1,871,284000
556,Normal,6380,5,6,1950,0,1048,0,0,1,0,2,1,280,113000
557,Normal,14850,5,5,1957,0,1092,1,0,1,0,2,1,299,141000
558,Normal,11040,4,6,1950,0,1336,0,0,1,1,3,0,570,108000
559,Normal,21872,7,5,1997,0,1446,0,1,2,1,3,1,406,175000
560,Normal,3196,7,5,2004,18,1557,0,0,2,0,2,1,420,234000
561,Normal,11341,5,6,1996,180,1392,1,0,1,1,3,1,528,121500
562,Normal,10010,5,5,1975,0,1389,1,0,1,0,2,1,418,170000
563,Normal,13907,5,6,1969,0,996,1,0,1,0,3,1,0,108000
564,Normal,21780,6,7,1950,0,1674,0,0,2,0,4,1,396,185000
565,Normal,13346,7,5,2000,0,2295,1,0,2,1,4,1,590,268000
566,Normal,6858,6,4,1950,0,1647,1,0,1,1,4,0,216,128000
567,Normal,11198,9,5,2007,245,2504,0,0,2,1,4,1,656,325000
568,Normal,10171,7,5,2004,168,1535,0,0,2,0,3,0,532,214000
569,Normal,12327,8,8,2009,0,2132,1,0,1,1,1,1,612,316600
570,Normal,7032,5,5,1979,0,943,1,0,1,0,2,2,600,135960
571,Normal,13101,5,5,1965,108,1728,0,0,2,0,6,0,576,142600
572,Abnorml,7332,6,6,1959,207,864,1,0,1,0,2,0,288,120000
573,Partial,13159,7,5,2009,0,1692,0,0,2,1,3,0,650,224500
574,Normal,9967,7,5,2000,0,1430,0,0,2,1,3,1,400,170000
575,Normal,10500,5,7,2005,82,1109,0,1,1,0,3,0,288,139000
576,Abnorml,8480,5,5,1950,0,1216,0,0,1,0,2,0,336,118500
577,Normal,6292,7,7,1950,0,1477,0,1,2,0,3,1,216,145000
578,Abnorml,11777,5,6,1966,97,1320,1,0,1,0,3,2,564,164500
579,Abnorml,3604,7,5,2007,0,1392,0,0,2,0,2,0,540,146000
580,Normal,12150,5,5,1954,335,1795,0,0,2,0,4,0,352,131500
581,Normal,14585,6,6,1987,85,1429,0,1,1,0,3,2,572,181900
582,Partial,12704,8,5,2009,306,2042,0,0,2,1,3,1,1390,253293
583,Normal,11841,6,5,1990,104,816,1,0,1,0,3,0,0,118500
584,Normal,13500,10,9,2000,0,2775,0,0,3,1,3,1,880,325000
585,Normal,6120,4,7,1995,0,1573,0,0,1,0,3,0,240,133000
586,Partial,11443,8,5,2006,208,2028,1,0,2,0,2,2,880,369900
587,Normal,10267,6,7,2000,0,838,1,0,1,0,2,0,275,130000
588,Normal,8740,5,6,1982,0,860,1,0,1,0,2,0,528,137000
589,Partial,25095,5,8,2003,0,1473,2,0,1,0,1,2,452,143000
590,Normal,9100,5,6,1960,0,935,0,0,1,0,2,0,308,79500
591,Normal,8320,7,5,2004,0,1582,0,0,2,1,3,0,520,185900
592,Normal,13478,10,5,2008,420,2296,1,0,2,1,3,1,842,451950
593,Normal,6600,5,8,2003,0,816,1,0,1,0,2,0,816,138000
594,Normal,4435,6,5,2003,170,848,1,0,1,0,1,0,420,140000
595,Normal,7990,5,6,1975,0,924,0,0,1,0,3,0,280,110000
596,Partial,11302,8,5,2006,238,1826,1,0,2,0,3,1,758,319000
597,Normal,3600,6,7,1993,0,1368,0,0,1,0,3,0,216,114504
598,Partial,3922,7,5,2007,72,1402,0,2,0,2,2,1,648,194201
599,Normal,12984,5,6,1977,459,1647,1,0,2,0,3,1,621,217500
600,Normal,1950,6,6,1980,0,1556,1,0,2,1,3,1,452,151000
601,Normal,10927,8,5,2005,280,1904,1,0,2,1,3,1,736,275000
602,Normal,9000,6,6,1950,0,1375,0,0,1,1,3,1,544,141000
603,Abnorml,10041,8,5,1992,0,1915,1,0,2,1,3,1,506,220000
604,Normal,3182,7,5,2005,0,1200,0,0,2,1,2,0,480,151000
605,Normal,12803,7,5,2002,99,1494,1,0,2,0,3,1,530,221000
606,Normal,13600,7,6,1990,176,1986,0,0,2,1,3,3,486,205000
607,Normal,12464,5,5,1996,0,1040,1,0,1,0,3,0,576,152000
608,Normal,7800,5,8,2002,0,2008,1,0,3,0,3,0,230,225000
609,Alloca,12168,8,6,1998,0,3194,0,0,2,1,4,2,380,359100
610,Normal,7943,4,5,1961,192,1029,1,0,1,0,3,0,261,118500
611,Normal,11050,9,5,2000,204,2153,1,0,2,1,3,2,736,313000
612,Normal,10395,6,6,1978,233,1032,0,1,2,0,3,1,564,148000
613,Normal,11885,8,5,2001,108,1872,1,0,2,1,3,1,531,261500
614,Partial,8402,5,5,2007,0,1120,0,0,1,0,3,0,0,147000
615,Normal,1491,4,6,1972,0,630,1,0,1,0,1,0,0,75500
616,Abnorml,8800,6,7,1963,156,1054,1,0,1,0,3,0,480,137500
617,Normal,7861,6,5,2003,0,1509,1,0,2,1,3,1,393,183200
618,Normal,7227,6,6,1954,0,832,0,0,1,0,2,0,528,105500
619,Partial,11694,9,5,2007,452,1828,0,0,2,0,3,1,774,314813
620,Normal,12244,8,5,2003,226,2262,1,0,2,1,4,2,749,305000
621,Normal,8248,3,3,1950,0,864,1,0,1,0,2,0,0,67000
622,Normal,10800,6,7,1997,0,2614,0,0,2,1,4,1,624,240000
623,Normal,7064,5,6,1977,153,980,0,0,1,0,3,0,484,135000
624,Normal,2117,6,5,2000,513,1512,0,0,2,1,2,1,440,168500
625,Normal,10400,6,5,1972,288,1790,1,0,1,2,4,1,484,165150
626,Normal,10000,6,6,1962,261,1116,0,0,1,1,3,0,440,160000
627,Normal,12342,5,5,1978,0,1422,0,0,1,0,3,1,286,139900
628,Normal,9600,6,6,1972,164,1520,1,0,1,0,3,2,364,153000
629,Family,11606,5,5,1969,192,2080,0,1,1,2,5,2,504,135000
630,Normal,9020,6,5,1964,259,1350,1,0,1,1,3,0,520,168500
631,Abnorml,9000,5,6,1991,0,1750,0,0,1,0,3,0,240,124000
632,Normal,4590,8,5,2006,108,1554,0,0,2,0,2,1,627,209500
633,Family,11900,7,5,1977,209,1411,0,0,2,0,3,1,544,82500
634,Normal,9250,5,7,2005,0,1056,0,1,1,0,3,0,260,139400
635,Normal,6979,6,5,1980,0,1056,2,0,0,0,0,0,576,144000
636,Abnorml,10896,6,7,1995,0,3395,0,0,2,0,8,0,0,200000
637,Normal,6120,2,3,1950,0,800,0,0,1,0,1,1,0,60000
638,Normal,6000,5,4,1954,0,1387,0,0,2,0,3,0,256,93000
639,Normal,8777,5,7,1950,0,796,0,0,1,0,2,0,0,85000
640,Partial,3982,8,5,2006,0,1567,1,0,2,0,1,1,648,264561
641,Normal,12677,8,5,2004,472,1518,0,0,1,1,1,1,588,274000
642,Normal,7050,7,5,2001,0,1929,1,0,2,1,3,1,650,226000
643,Normal,13860,8,7,1995,0,2704,1,0,2,1,4,3,538,345000
644,Normal,10793,5,5,1969,263,1620,0,0,2,1,4,0,462,152000
645,Partial,9187,9,5,2009,162,1766,1,0,2,1,2,1,478,370878
646,Normal,10530,6,5,1971,0,981,1,0,1,1,3,0,576,143250
647,Normal,7200,5,5,1950,0,1048,0,0,1,0,3,0,420,98300
648,Normal,10452,6,5,1953,216,1094,0,0,1,0,3,2,495,155000
649,Normal,7700,6,5,1966,351,1839,0,0,1,1,4,1,442,155000
650,Normal,1936,4,6,1970,0,630,1,0,1,0,1,0,0,84500
651,Normal,8125,7,6,2007,,1665,0,0,2,1,3,0,562,205950
652,Normal,9084,4,5,1950,0,1510,1,0,1,0,4,1,296,108000
653,Normal,8750,7,5,1996,0,1716,0,0,2,1,2,1,512,191000
654,Normal,10320,6,7,1995,0,1469,0,0,1,0,3,0,216,135000
655,Normal,10437,8,6,1995,660,2113,1,0,2,1,2,1,839,350000
656,Family,1680,6,5,1971,381,1092,0,0,1,1,3,0,264,88000
657,Normal,10007,5,7,2006,54,1053,1,0,1,1,3,0,312,145500
658,Normal,7200,7,6,2000,0,1502,0,0,1,1,3,1,270,149000
659,Abnorml,17503,6,5,1950,0,1458,0,1,1,0,3,1,330,97500
660,Normal,9937,5,7,1999,0,1486,1,0,1,0,3,0,480,167000
661,Normal,12384,7,7,1976,233,1935,0,0,2,1,3,1,550,197900
662,Normal,46589,8,7,2005,528,2448,1,0,2,1,4,1,711,402000
663,Normal,13560,6,3,1968,216,1392,1,0,1,0,2,2,576,110000
664,Normal,10012,4,5,1972,0,1181,1,0,2,0,3,0,588,137500
665,Partial,20896,8,5,2006,0,2097,1,0,1,1,1,1,1134,423000
666,Normal,11194,8,5,2000,40,1936,0,0,2,1,3,1,504,230500
667,Abnorml,18450,6,5,1979,113,2380,0,0,2,1,3,1,596,129000
668,Normal,8125,6,5,1998,258,1679,1,0,2,0,3,1,575,193500
669,Normal,14175,5,6,1987,0,1437,1,0,1,1,3,1,576,168000
670,Normal,11600,4,5,1950,0,1180,0,0,1,0,2,1,252,137500
671,Normal,8633,6,5,2005,0,1476,1,0,2,1,3,0,540,173500
672,Normal,6629,6,6,1950,0,1369,1,0,2,0,3,0,300,103600
673,Normal,11250,6,6,1977,0,1208,1,0,1,1,3,1,546,165000
674,Normal,14442,6,7,2004,106,1839,1,0,2,0,3,2,416,257500
675,Normal,9200,6,6,1965,0,1136,1,0,1,0,3,1,384,140000
676,Normal,2289,6,6,1978,0,1441,0,0,2,1,3,1,440,148500
677,Normal,9600,4,2,1950,0,1774,1,0,2,0,4,0,779,87000
678,Normal,9022,5,8,2006,0,792,0,0,1,0,2,0,240,109500
679,Partial,11844,8,5,2008,464,2046,0,0,2,1,3,1,834,372500
680,Normal,9945,5,5,1961,57,988,1,0,1,0,3,0,572,128500
681,Normal,8012,6,5,1980,0,923,0,0,2,0,2,1,264,143000
682,Abnorml,4500,5,5,2000,0,1520,0,0,1,0,3,0,281,159434
683,Normal,2887,6,5,1997,0,1291,1,0,1,0,2,1,431,173000
684,Normal,11248,9,5,2002,215,1668,1,0,2,0,3,1,702,285000
685,Normal,16770,7,5,1998,30,1839,0,0,2,1,4,0,486,221000
686,Normal,5062,7,5,1984,0,2090,1,0,2,0,3,1,577,207500
687,Partial,10207,7,6,2007,0,1761,0,0,3,0,3,0,578,227875
688,Normal,5105,7,5,2004,0,1102,0,0,2,1,2,0,480,148800
689,Partial,8089,8,6,2007,0,1419,1,0,2,0,2,1,567,392000
690,Normal,7577,6,5,2006,256,1362,0,0,2,0,2,1,460,194700
691,Normal,4426,6,5,2004,147,848,1,0,1,0,1,1,420,141000
692,Normal,21535,10,6,1995,1170,4316,0,1,3,1,4,2,832,755000
693,Normal,26178,7,5,1990,293,2519,1,0,2,1,4,2,628,335000
694,Abnorml,5400,5,6,1968,0,1073,0,0,1,0,2,0,326,108480
695,Normal,6120,5,6,1950,0,1539,0,0,1,1,3,0,576,141500
696,Normal,13811,6,6,1987,72,1137,1,0,2,0,2,1,551,176000
697,Normal,6000,5,7,1950,0,616,0,0,1,0,2,0,205,89000
698,Normal,6420,5,7,1952,0,1148,0,1,1,0,2,0,308,123500
699,Normal,8450,5,8,2009,0,894,1,0,1,0,3,1,336,138500
700,Normal,4282,7,5,2004,0,1391,0,0,2,0,2,0,530,196000
701,Normal,14331,8,5,2002,630,1800,1,0,2,0,3,1,765,312500
702,Normal,9600,7,5,1969,168,1164,0,0,1,1,3,0,528,140000
703,Partial,12438,8,5,2006,466,2576,0,0,2,1,4,1,666,361919
704,Normal,7630,5,9,1996,0,1812,0,0,2,0,4,1,672,140000
705,Normal,8400,7,5,2005,109,1484,1,0,2,0,3,0,606,213000
706,Normal,5600,4,5,1950,0,1092,0,0,2,0,3,0,0,55000
707,Normal,115149,7,5,2002,351,1824,1,0,2,0,2,2,739,302000
708,Normal,6240,8,5,2006,176,1324,1,0,2,0,2,1,550,254000
709,Partial,9018,7,5,2007,0,1456,0,0,2,1,3,1,400,179540
710,Abnorml,7162,5,7,1966,41,904,0,0,1,0,3,0,408,109900
711,Normal,4130,3,6,2003,0,729,0,0,1,0,2,0,0,52000
712,Abnorml,8712,4,7,1950,0,1178,0,0,1,0,2,0,384,102776
713,Normal,4671,8,5,1989,0,1228,1,0,2,0,2,1,472,189000
714,Normal,9873,4,5,1970,160,960,1,0,1,0,3,0,576,129000
715,Normal,13517,6,8,2005,289,1479,0,0,2,1,3,0,475,130500
716,Normal,10140,6,5,1974,174,1350,0,0,2,0,3,1,478,165000
717,Normal,10800,7,8,1998,0,2554,0,0,1,1,3,0,704,159500
718,Normal,10000,5,6,2000,0,1178,0,1,1,1,3,1,439,157000
719,Normal,10542,7,5,1994,651,2418,1,0,2,1,3,1,983,341000
720,Normal,9920,5,6,1969,0,971,0,0,1,1,3,1,300,128500
721,Normal,6563,8,5,1985,0,1742,1,0,2,0,2,1,564,275000
722,Normal,4426,6,5,2004,169,848,1,0,1,0,1,0,420,143000
723,Normal,8120,4,7,1970,0,864,0,0,1,0,3,0,463,124500
724,Normal,8172,4,6,1972,0,1470,0,0,2,0,4,0,548,135000
725,Normal,13286,9,5,2008,340,1698,1,0,2,0,3,1,768,320000
726,Normal,6960,4,6,1970,0,864,0,0,1,0,3,0,660,120500
727,Normal,21695,6,9,2007,260,1680,1,0,2,0,3,1,540,222000
